English,Braille
white how sad black smile,⠺⠓⠊⠞⠑ ⠓⠕⠺ ⠎⠁⠙ ⠃⠇⠁⠉⠅ ⠎⠍⠊⠇⠑
think stand red laugh black sun,⠞⠓⠊⠝⠅ ⠎⠞⠁⠝⠙ ⠗⠑⠙ ⠇⠁⠥⠛⠓ ⠃⠇⠁⠉⠅ ⠎⠥⠝
fast touch good black today jump are white,⠋⠁⠎⠞ ⠞⠕⠥⠉⠓ ⠛⠕⠕⠙ ⠃⠇⠁⠉⠅ ⠞⠕⠙⠁⠽ ⠚⠥⠍⠏ ⠁⠗⠑ ⠺⠓⠊⠞⠑
today touch hello laugh hello,⠞⠕⠙⠁⠽ ⠞⠕⠥⠉⠓ ⠓⠑⠇⠇⠕ ⠇⠁⠥⠛⠓ ⠓⠑⠇⠇⠕
laugh see night give fast bring walk send,⠇⠁⠥⠛⠓ ⠎⠑⠑ ⠝⠊⠛⠓⠞ ⠛⠊⠧⠑ ⠋⠁⠎⠞ ⠃⠗⠊⠝⠛ ⠺⠁⠇⠅ ⠎⠑⠝⠙
take send world happy feel give stand sun,⠞⠁⠅⠑ ⠎⠑⠝⠙ ⠺⠕⠗⠇⠙ ⠓⠁⠏⠏⠽ ⠋⠑⠑⠇ ⠛⠊⠧⠑ ⠎⠞⠁⠝⠙ ⠎⠥⠝
stay hello give send hello think run world,⠎⠞⠁⠽ ⠓⠑⠇⠇⠕ ⠛⠊⠧⠑ ⠎⠑⠝⠙ ⠓⠑⠇⠇⠕ ⠞⠓⠊⠝⠅ ⠗⠥⠝ ⠺⠕⠗⠇⠙
night dark today sad today wish,⠝⠊⠛⠓⠞ ⠙⠁⠗⠅ ⠞⠕⠙⠁⠽ ⠎⠁⠙ ⠞⠕⠙⠁⠽ ⠺⠊⠎⠓
blue good today white good stay good how,⠃⠇⠥⠑ ⠛⠕⠕⠙ ⠞⠕⠙⠁⠽ ⠺⠓⠊⠞⠑ ⠛⠕⠕⠙ ⠎⠞⠁⠽ ⠛⠕⠕⠙ ⠓⠕⠺
see hello read close,⠎⠑⠑ ⠓⠑⠇⠇⠕ ⠗⠑⠁⠙ ⠉⠇⠕⠎⠑
take close wish stay moon slow laugh touch,⠞⠁⠅⠑ ⠉⠇⠕⠎⠑ ⠺⠊⠎⠓ ⠎⠞⠁⠽ ⠍⠕⠕⠝ ⠎⠇⠕⠺ ⠇⠁⠥⠛⠓ ⠞⠕⠥⠉⠓
sun see write world write,⠎⠥⠝ ⠎⠑⠑ ⠺⠗⠊⠞⠑ ⠺⠕⠗⠇⠙ ⠺⠗⠊⠞⠑
happy dark smile hold dark sun fast wish,⠓⠁⠏⠏⠽ ⠙⠁⠗⠅ ⠎⠍⠊⠇⠑ ⠓⠕⠇⠙ ⠙⠁⠗⠅ ⠎⠥⠝ ⠋⠁⠎⠞ ⠺⠊⠎⠓
walk wish hate think close read stand,⠺⠁⠇⠅ ⠺⠊⠎⠓ ⠓⠁⠞⠑ ⠞⠓⠊⠝⠅ ⠉⠇⠕⠎⠑ ⠗⠑⠁⠙ ⠎⠞⠁⠝⠙
love take moon smile love stay,⠇⠕⠧⠑ ⠞⠁⠅⠑ ⠍⠕⠕⠝ ⠎⠍⠊⠇⠑ ⠇⠕⠧⠑ ⠎⠞⠁⠽
wish stay you open hold bring today good,⠺⠊⠎⠓ ⠎⠞⠁⠽ ⠽⠕⠥ ⠕⠏⠑⠝ ⠓⠕⠇⠙ ⠃⠗⠊⠝⠛ ⠞⠕⠙⠁⠽ ⠛⠕⠕⠙
dark slow how you sad wish black,⠙⠁⠗⠅ ⠎⠇⠕⠺ ⠓⠕⠺ ⠽⠕⠥ ⠎⠁⠙ ⠺⠊⠎⠓ ⠃⠇⠁⠉⠅
bring slow yellow write take,⠃⠗⠊⠝⠛ ⠎⠇⠕⠺ ⠽⠑⠇⠇⠕⠺ ⠺⠗⠊⠞⠑ ⠞⠁⠅⠑
jump you yellow moon stand fast,⠚⠥⠍⠏ ⠽⠕⠥ ⠽⠑⠇⠇⠕⠺ ⠍⠕⠕⠝ ⠎⠞⠁⠝⠙ ⠋⠁⠎⠞
see give white world white,⠎⠑⠑ ⠛⠊⠧⠑ ⠺⠓⠊⠞⠑ ⠺⠕⠗⠇⠙ ⠺⠓⠊⠞⠑
run sun bring today,⠗⠥⠝ ⠎⠥⠝ ⠃⠗⠊⠝⠛ ⠞⠕⠙⠁⠽
touch take open how,⠞⠕⠥⠉⠓ ⠞⠁⠅⠑ ⠕⠏⠑⠝ ⠓⠕⠺
open sun blue sun,⠕⠏⠑⠝ ⠎⠥⠝ ⠃⠇⠥⠑ ⠎⠥⠝
black sad hello walk feel hold are how,⠃⠇⠁⠉⠅ ⠎⠁⠙ ⠓⠑⠇⠇⠕ ⠺⠁⠇⠅ ⠋⠑⠑⠇ ⠓⠕⠇⠙ ⠁⠗⠑ ⠓⠕⠺
world fast red dark hello,⠺⠕⠗⠇⠙ ⠋⠁⠎⠞ ⠗⠑⠙ ⠙⠁⠗⠅ ⠓⠑⠇⠇⠕
run bring today close think take laugh,⠗⠥⠝ ⠃⠗⠊⠝⠛ ⠞⠕⠙⠁⠽ ⠉⠇⠕⠎⠑ ⠞⠓⠊⠝⠅ ⠞⠁⠅⠑ ⠇⠁⠥⠛⠓
hold green jump bring love,⠓⠕⠇⠙ ⠛⠗⠑⠑⠝ ⠚⠥⠍⠏ ⠃⠗⠊⠝⠛ ⠇⠕⠧⠑
you sun happy world good dream,⠽⠕⠥ ⠎⠥⠝ ⠓⠁⠏⠏⠽ ⠺⠕⠗⠇⠙ ⠛⠕⠕⠙ ⠙⠗⠑⠁⠍
happy world stand stay think close morning write,⠓⠁⠏⠏⠽ ⠺⠕⠗⠇⠙ ⠎⠞⠁⠝⠙ ⠎⠞⠁⠽ ⠞⠓⠊⠝⠅ ⠉⠇⠕⠎⠑ ⠍⠕⠗⠝⠊⠝⠛ ⠺⠗⠊⠞⠑
slow today walk night,⠎⠇⠕⠺ ⠞⠕⠙⠁⠽ ⠺⠁⠇⠅ ⠝⠊⠛⠓⠞
white moon give today good happy see,⠺⠓⠊⠞⠑ ⠍⠕⠕⠝ ⠛⠊⠧⠑ ⠞⠕⠙⠁⠽ ⠛⠕⠕⠙ ⠓⠁⠏⠏⠽ ⠎⠑⠑
bright green think touch laugh yellow bright go,⠃⠗⠊⠛⠓⠞ ⠛⠗⠑⠑⠝ ⠞⠓⠊⠝⠅ ⠞⠕⠥⠉⠓ ⠇⠁⠥⠛⠓ ⠽⠑⠇⠇⠕⠺ ⠃⠗⠊⠛⠓⠞ ⠛⠕
go sad hate sad are night stay red,⠛⠕ ⠎⠁⠙ ⠓⠁⠞⠑ ⠎⠁⠙ ⠁⠗⠑ ⠝⠊⠛⠓⠞ ⠎⠞⠁⠽ ⠗⠑⠙
think laugh wish smile stand hello stay walk,⠞⠓⠊⠝⠅ ⠇⠁⠥⠛⠓ ⠺⠊⠎⠓ ⠎⠍⠊⠇⠑ ⠎⠞⠁⠝⠙ ⠓⠑⠇⠇⠕ ⠎⠞⠁⠽ ⠺⠁⠇⠅
walk dark read moon open morning world feel,⠺⠁⠇⠅ ⠙⠁⠗⠅ ⠗⠑⠁⠙ ⠍⠕⠕⠝ ⠕⠏⠑⠝ ⠍⠕⠗⠝⠊⠝⠛ ⠺⠕⠗⠇⠙ ⠋⠑⠑⠇
sun touch black see go yellow bring think,⠎⠥⠝ ⠞⠕⠥⠉⠓ ⠃⠇⠁⠉⠅ ⠎⠑⠑ ⠛⠕ ⠽⠑⠇⠇⠕⠺ ⠃⠗⠊⠝⠛ ⠞⠓⠊⠝⠅
blue happy dark you blue love bright,⠃⠇⠥⠑ ⠓⠁⠏⠏⠽ ⠙⠁⠗⠅ ⠽⠕⠥ ⠃⠇⠥⠑ ⠇⠕⠧⠑ ⠃⠗⠊⠛⠓⠞
stay you black white walk bright stay,⠎⠞⠁⠽ ⠽⠕⠥ ⠃⠇⠁⠉⠅ ⠺⠓⠊⠞⠑ ⠺⠁⠇⠅ ⠃⠗⠊⠛⠓⠞ ⠎⠞⠁⠽
stay bright jump sad open,⠎⠞⠁⠽ ⠃⠗⠊⠛⠓⠞ ⠚⠥⠍⠏ ⠎⠁⠙ ⠕⠏⠑⠝
night happy wish morning hello,⠝⠊⠛⠓⠞ ⠓⠁⠏⠏⠽ ⠺⠊⠎⠓ ⠍⠕⠗⠝⠊⠝⠛ ⠓⠑⠇⠇⠕
bring take smile are take,⠃⠗⠊⠝⠛ ⠞⠁⠅⠑ ⠎⠍⠊⠇⠑ ⠁⠗⠑ ⠞⠁⠅⠑
take read red blue write stay,⠞⠁⠅⠑ ⠗⠑⠁⠙ ⠗⠑⠙ ⠃⠇⠥⠑ ⠺⠗⠊⠞⠑ ⠎⠞⠁⠽
moon walk dream write see green,⠍⠕⠕⠝ ⠺⠁⠇⠅ ⠙⠗⠑⠁⠍ ⠺⠗⠊⠞⠑ ⠎⠑⠑ ⠛⠗⠑⠑⠝
write touch send good slow yellow,⠺⠗⠊⠞⠑ ⠞⠕⠥⠉⠓ ⠎⠑⠝⠙ ⠛⠕⠕⠙ ⠎⠇⠕⠺ ⠽⠑⠇⠇⠕⠺
you stay laugh world go take slow,⠽⠕⠥ ⠎⠞⠁⠽ ⠇⠁⠥⠛⠓ ⠺⠕⠗⠇⠙ ⠛⠕ ⠞⠁⠅⠑ ⠎⠇⠕⠺
close sun laugh stay night fast blue,⠉⠇⠕⠎⠑ ⠎⠥⠝ ⠇⠁⠥⠛⠓ ⠎⠞⠁⠽ ⠝⠊⠛⠓⠞ ⠋⠁⠎⠞ ⠃⠇⠥⠑
today jump hello stay,⠞⠕⠙⠁⠽ ⠚⠥⠍⠏ ⠓⠑⠇⠇⠕ ⠎⠞⠁⠽
feel white laugh good sun happy,⠋⠑⠑⠇ ⠺⠓⠊⠞⠑ ⠇⠁⠥⠛⠓ ⠛⠕⠕⠙ ⠎⠥⠝ ⠓⠁⠏⠏⠽
read fast sun sun fast write,⠗⠑⠁⠙ ⠋⠁⠎⠞ ⠎⠥⠝ ⠎⠥⠝ ⠋⠁⠎⠞ ⠺⠗⠊⠞⠑
wish today wish smile take yellow green how,⠺⠊⠎⠓ ⠞⠕⠙⠁⠽ ⠺⠊⠎⠓ ⠎⠍⠊⠇⠑ ⠞⠁⠅⠑ ⠽⠑⠇⠇⠕⠺ ⠛⠗⠑⠑⠝ ⠓⠕⠺
close give today white today black green,⠉⠇⠕⠎⠑ ⠛⠊⠧⠑ ⠞⠕⠙⠁⠽ ⠺⠓⠊⠞⠑ ⠞⠕⠙⠁⠽ ⠃⠇⠁⠉⠅ ⠛⠗⠑⠑⠝
love yellow green dream how good,⠇⠕⠧⠑ ⠽⠑⠇⠇⠕⠺ ⠛⠗⠑⠑⠝ ⠙⠗⠑⠁⠍ ⠓⠕⠺ ⠛⠕⠕⠙
close bright laugh sun,⠉⠇⠕⠎⠑ ⠃⠗⠊⠛⠓⠞ ⠇⠁⠥⠛⠓ ⠎⠥⠝
morning hold love green blue touch bring,⠍⠕⠗⠝⠊⠝⠛ ⠓⠕⠇⠙ ⠇⠕⠧⠑ ⠛⠗⠑⠑⠝ ⠃⠇⠥⠑ ⠞⠕⠥⠉⠓ ⠃⠗⠊⠝⠛
morning give good smile,⠍⠕⠗⠝⠊⠝⠛ ⠛⠊⠧⠑ ⠛⠕⠕⠙ ⠎⠍⠊⠇⠑
sad close white give close,⠎⠁⠙ ⠉⠇⠕⠎⠑ ⠺⠓⠊⠞⠑ ⠛⠊⠧⠑ ⠉⠇⠕⠎⠑
touch hello feel hold love hate open,⠞⠕⠥⠉⠓ ⠓⠑⠇⠇⠕ ⠋⠑⠑⠇ ⠓⠕⠇⠙ ⠇⠕⠧⠑ ⠓⠁⠞⠑ ⠕⠏⠑⠝
sad sad read jump slow red you go,⠎⠁⠙ ⠎⠁⠙ ⠗⠑⠁⠙ ⠚⠥⠍⠏ ⠎⠇⠕⠺ ⠗⠑⠙ ⠽⠕⠥ ⠛⠕
dark open green wish,⠙⠁⠗⠅ ⠕⠏⠑⠝ ⠛⠗⠑⠑⠝ ⠺⠊⠎⠓
are moon fast yellow,⠁⠗⠑ ⠍⠕⠕⠝ ⠋⠁⠎⠞ ⠽⠑⠇⠇⠕⠺
laugh jump walk close good,⠇⠁⠥⠛⠓ ⠚⠥⠍⠏ ⠺⠁⠇⠅ ⠉⠇⠕⠎⠑ ⠛⠕⠕⠙
write dark bright walk dream read bright night,⠺⠗⠊⠞⠑ ⠙⠁⠗⠅ ⠃⠗⠊⠛⠓⠞ ⠺⠁⠇⠅ ⠙⠗⠑⠁⠍ ⠗⠑⠁⠙ ⠃⠗⠊⠛⠓⠞ ⠝⠊⠛⠓⠞
send hello touch stay,⠎⠑⠝⠙ ⠓⠑⠇⠇⠕ ⠞⠕⠥⠉⠓ ⠎⠞⠁⠽
today sad sad take read red bright take,⠞⠕⠙⠁⠽ ⠎⠁⠙ ⠎⠁⠙ ⠞⠁⠅⠑ ⠗⠑⠁⠙ ⠗⠑⠙ ⠃⠗⠊⠛⠓⠞ ⠞⠁⠅⠑
bring black slow yellow go send you,⠃⠗⠊⠝⠛ ⠃⠇⠁⠉⠅ ⠎⠇⠕⠺ ⠽⠑⠇⠇⠕⠺ ⠛⠕ ⠎⠑⠝⠙ ⠽⠕⠥
slow hate stand hello stand touch,⠎⠇⠕⠺ ⠓⠁⠞⠑ ⠎⠞⠁⠝⠙ ⠓⠑⠇⠇⠕ ⠎⠞⠁⠝⠙ ⠞⠕⠥⠉⠓
think bright hate open fast morning blue,⠞⠓⠊⠝⠅ ⠃⠗⠊⠛⠓⠞ ⠓⠁⠞⠑ ⠕⠏⠑⠝ ⠋⠁⠎⠞ ⠍⠕⠗⠝⠊⠝⠛ ⠃⠇⠥⠑
feel close wish feel sad dark,⠋⠑⠑⠇ ⠉⠇⠕⠎⠑ ⠺⠊⠎⠓ ⠋⠑⠑⠇ ⠎⠁⠙ ⠙⠁⠗⠅
world wish moon stay,⠺⠕⠗⠇⠙ ⠺⠊⠎⠓ ⠍⠕⠕⠝ ⠎⠞⠁⠽
walk think hold sad white,⠺⠁⠇⠅ ⠞⠓⠊⠝⠅ ⠓⠕⠇⠙ ⠎⠁⠙ ⠺⠓⠊⠞⠑
laugh dream happy love slow take,⠇⠁⠥⠛⠓ ⠙⠗⠑⠁⠍ ⠓⠁⠏⠏⠽ ⠇⠕⠧⠑ ⠎⠇⠕⠺ ⠞⠁⠅⠑
laugh stand jump dream fast,⠇⠁⠥⠛⠓ ⠎⠞⠁⠝⠙ ⠚⠥⠍⠏ ⠙⠗⠑⠁⠍ ⠋⠁⠎⠞
dream love smile green walk stay think moon,⠙⠗⠑⠁⠍ ⠇⠕⠧⠑ ⠎⠍⠊⠇⠑ ⠛⠗⠑⠑⠝ ⠺⠁⠇⠅ ⠎⠞⠁⠽ ⠞⠓⠊⠝⠅ ⠍⠕⠕⠝
dark go send you today hate come,⠙⠁⠗⠅ ⠛⠕ ⠎⠑⠝⠙ ⠽⠕⠥ ⠞⠕⠙⠁⠽ ⠓⠁⠞⠑ ⠉⠕⠍⠑
morning come hold smile go feel,⠍⠕⠗⠝⠊⠝⠛ ⠉⠕⠍⠑ ⠓⠕⠇⠙ ⠎⠍⠊⠇⠑ ⠛⠕ ⠋⠑⠑⠇
see write morning bright close laugh sun moon,⠎⠑⠑ ⠺⠗⠊⠞⠑ ⠍⠕⠗⠝⠊⠝⠛ ⠃⠗⠊⠛⠓⠞ ⠉⠇⠕⠎⠑ ⠇⠁⠥⠛⠓ ⠎⠥⠝ ⠍⠕⠕⠝
open dream morning see smile dark,⠕⠏⠑⠝ ⠙⠗⠑⠁⠍ ⠍⠕⠗⠝⠊⠝⠛ ⠎⠑⠑ ⠎⠍⠊⠇⠑ ⠙⠁⠗⠅
wish stand write touch walk feel feel smile,⠺⠊⠎⠓ ⠎⠞⠁⠝⠙ ⠺⠗⠊⠞⠑ ⠞⠕⠥⠉⠓ ⠺⠁⠇⠅ ⠋⠑⠑⠇ ⠋⠑⠑⠇ ⠎⠍⠊⠇⠑
sun black dark write think give today moon,⠎⠥⠝ ⠃⠇⠁⠉⠅ ⠙⠁⠗⠅ ⠺⠗⠊⠞⠑ ⠞⠓⠊⠝⠅ ⠛⠊⠧⠑ ⠞⠕⠙⠁⠽ ⠍⠕⠕⠝
run white run stand jump hello laugh,⠗⠥⠝ ⠺⠓⠊⠞⠑ ⠗⠥⠝ ⠎⠞⠁⠝⠙ ⠚⠥⠍⠏ ⠓⠑⠇⠇⠕ ⠇⠁⠥⠛⠓
fast write wish happy red,⠋⠁⠎⠞ ⠺⠗⠊⠞⠑ ⠺⠊⠎⠓ ⠓⠁⠏⠏⠽ ⠗⠑⠙
smile wish morning dream close,⠎⠍⠊⠇⠑ ⠺⠊⠎⠓ ⠍⠕⠗⠝⠊⠝⠛ ⠙⠗⠑⠁⠍ ⠉⠇⠕⠎⠑
fast blue stand world yellow close,⠋⠁⠎⠞ ⠃⠇⠥⠑ ⠎⠞⠁⠝⠙ ⠺⠕⠗⠇⠙ ⠽⠑⠇⠇⠕⠺ ⠉⠇⠕⠎⠑
sun touch write hate moon black slow,⠎⠥⠝ ⠞⠕⠥⠉⠓ ⠺⠗⠊⠞⠑ ⠓⠁⠞⠑ ⠍⠕⠕⠝ ⠃⠇⠁⠉⠅ ⠎⠇⠕⠺
love wish today open green how take white,⠇⠕⠧⠑ ⠺⠊⠎⠓ ⠞⠕⠙⠁⠽ ⠕⠏⠑⠝ ⠛⠗⠑⠑⠝ ⠓⠕⠺ ⠞⠁⠅⠑ ⠺⠓⠊⠞⠑
come write write night green sad,⠉⠕⠍⠑ ⠺⠗⠊⠞⠑ ⠺⠗⠊⠞⠑ ⠝⠊⠛⠓⠞ ⠛⠗⠑⠑⠝ ⠎⠁⠙
dream run fast yellow how red are,⠙⠗⠑⠁⠍ ⠗⠥⠝ ⠋⠁⠎⠞ ⠽⠑⠇⠇⠕⠺ ⠓⠕⠺ ⠗⠑⠙ ⠁⠗⠑
send world white how stand,⠎⠑⠝⠙ ⠺⠕⠗⠇⠙ ⠺⠓⠊⠞⠑ ⠓⠕⠺ ⠎⠞⠁⠝⠙
dream hate yellow hello close yellow how,⠙⠗⠑⠁⠍ ⠓⠁⠞⠑ ⠽⠑⠇⠇⠕⠺ ⠓⠑⠇⠇⠕ ⠉⠇⠕⠎⠑ ⠽⠑⠇⠇⠕⠺ ⠓⠕⠺
you fast love send black,⠽⠕⠥ ⠋⠁⠎⠞ ⠇⠕⠧⠑ ⠎⠑⠝⠙ ⠃⠇⠁⠉⠅
stand take moon send hold red write,⠎⠞⠁⠝⠙ ⠞⠁⠅⠑ ⠍⠕⠕⠝ ⠎⠑⠝⠙ ⠓⠕⠇⠙ ⠗⠑⠙ ⠺⠗⠊⠞⠑
wish white slow go hold you,⠺⠊⠎⠓ ⠺⠓⠊⠞⠑ ⠎⠇⠕⠺ ⠛⠕ ⠓⠕⠇⠙ ⠽⠕⠥
today are take read sad,⠞⠕⠙⠁⠽ ⠁⠗⠑ ⠞⠁⠅⠑ ⠗⠑⠁⠙ ⠎⠁⠙
are sun how see stand bright good,⠁⠗⠑ ⠎⠥⠝ ⠓⠕⠺ ⠎⠑⠑ ⠎⠞⠁⠝⠙ ⠃⠗⠊⠛⠓⠞ ⠛⠕⠕⠙
hate stand touch open hold slow,⠓⠁⠞⠑ ⠎⠞⠁⠝⠙ ⠞⠕⠥⠉⠓ ⠕⠏⠑⠝ ⠓⠕⠇⠙ ⠎⠇⠕⠺
open you stay moon yellow,⠕⠏⠑⠝ ⠽⠕⠥ ⠎⠞⠁⠽ ⠍⠕⠕⠝ ⠽⠑⠇⠇⠕⠺
hate hate bright slow moon come come laugh,⠓⠁⠞⠑ ⠓⠁⠞⠑ ⠃⠗⠊⠛⠓⠞ ⠎⠇⠕⠺ ⠍⠕⠕⠝ ⠉⠕⠍⠑ ⠉⠕⠍⠑ ⠇⠁⠥⠛⠓
you sad dream go morning,⠽⠕⠥ ⠎⠁⠙ ⠙⠗⠑⠁⠍ ⠛⠕ ⠍⠕⠗⠝⠊⠝⠛
stay dark close go,⠎⠞⠁⠽ ⠙⠁⠗⠅ ⠉⠇⠕⠎⠑ ⠛⠕
think are read red run dark sad smile,⠞⠓⠊⠝⠅ ⠁⠗⠑ ⠗⠑⠁⠙ ⠗⠑⠙ ⠗⠥⠝ ⠙⠁⠗⠅ ⠎⠁⠙ ⠎⠍⠊⠇⠑
moon open morning stand you blue bring,⠍⠕⠕⠝ ⠕⠏⠑⠝ ⠍⠕⠗⠝⠊⠝⠛ ⠎⠞⠁⠝⠙ ⠽⠕⠥ ⠃⠇⠥⠑ ⠃⠗⠊⠝⠛
bring sun blue hello hold dream send dark,⠃⠗⠊⠝⠛ ⠎⠥⠝ ⠃⠇⠥⠑ ⠓⠑⠇⠇⠕ ⠓⠕⠇⠙ ⠙⠗⠑⠁⠍ ⠎⠑⠝⠙ ⠙⠁⠗⠅
are sun red stay white stay,⠁⠗⠑ ⠎⠥⠝ ⠗⠑⠙ ⠎⠞⠁⠽ ⠺⠓⠊⠞⠑ ⠎⠞⠁⠽
slow wish close feel red read night moon,⠎⠇⠕⠺ ⠺⠊⠎⠓ ⠉⠇⠕⠎⠑ ⠋⠑⠑⠇ ⠗⠑⠙ ⠗⠑⠁⠙ ⠝⠊⠛⠓⠞ ⠍⠕⠕⠝
love dream smile bring sad night,⠇⠕⠧⠑ ⠙⠗⠑⠁⠍ ⠎⠍⠊⠇⠑ ⠃⠗⠊⠝⠛ ⠎⠁⠙ ⠝⠊⠛⠓⠞
how good send jump walk,⠓⠕⠺ ⠛⠕⠕⠙ ⠎⠑⠝⠙ ⠚⠥⠍⠏ ⠺⠁⠇⠅
yellow give close green hate world bring,⠽⠑⠇⠇⠕⠺ ⠛⠊⠧⠑ ⠉⠇⠕⠎⠑ ⠛⠗⠑⠑⠝ ⠓⠁⠞⠑ ⠺⠕⠗⠇⠙ ⠃⠗⠊⠝⠛
smile stay black black see sun feel red,⠎⠍⠊⠇⠑ ⠎⠞⠁⠽ ⠃⠇⠁⠉⠅ ⠃⠇⠁⠉⠅ ⠎⠑⠑ ⠎⠥⠝ ⠋⠑⠑⠇ ⠗⠑⠙
moon you you green dark are,⠍⠕⠕⠝ ⠽⠕⠥ ⠽⠕⠥ ⠛⠗⠑⠑⠝ ⠙⠁⠗⠅ ⠁⠗⠑
hate red walk you yellow sad wish,⠓⠁⠞⠑ ⠗⠑⠙ ⠺⠁⠇⠅ ⠽⠕⠥ ⠽⠑⠇⠇⠕⠺ ⠎⠁⠙ ⠺⠊⠎⠓
laugh close hello hold,⠇⠁⠥⠛⠓ ⠉⠇⠕⠎⠑ ⠓⠑⠇⠇⠕ ⠓⠕⠇⠙
smile read write hold are today world,⠎⠍⠊⠇⠑ ⠗⠑⠁⠙ ⠺⠗⠊⠞⠑ ⠓⠕⠇⠙ ⠁⠗⠑ ⠞⠕⠙⠁⠽ ⠺⠕⠗⠇⠙
jump moon today stand white,⠚⠥⠍⠏ ⠍⠕⠕⠝ ⠞⠕⠙⠁⠽ ⠎⠞⠁⠝⠙ ⠺⠓⠊⠞⠑
hello you world send wish,⠓⠑⠇⠇⠕ ⠽⠕⠥ ⠺⠕⠗⠇⠙ ⠎⠑⠝⠙ ⠺⠊⠎⠓
blue sad morning touch come jump come,⠃⠇⠥⠑ ⠎⠁⠙ ⠍⠕⠗⠝⠊⠝⠛ ⠞⠕⠥⠉⠓ ⠉⠕⠍⠑ ⠚⠥⠍⠏ ⠉⠕⠍⠑
happy red read hate walk go come love,⠓⠁⠏⠏⠽ ⠗⠑⠙ ⠗⠑⠁⠙ ⠓⠁⠞⠑ ⠺⠁⠇⠅ ⠛⠕ ⠉⠕⠍⠑ ⠇⠕⠧⠑
open think go sad good,⠕⠏⠑⠝ ⠞⠓⠊⠝⠅ ⠛⠕ ⠎⠁⠙ ⠛⠕⠕⠙
moon red touch sad sad send walk,⠍⠕⠕⠝ ⠗⠑⠙ ⠞⠕⠥⠉⠓ ⠎⠁⠙ ⠎⠁⠙ ⠎⠑⠝⠙ ⠺⠁⠇⠅
yellow close white fast come moon yellow stay,⠽⠑⠇⠇⠕⠺ ⠉⠇⠕⠎⠑ ⠺⠓⠊⠞⠑ ⠋⠁⠎⠞ ⠉⠕⠍⠑ ⠍⠕⠕⠝ ⠽⠑⠇⠇⠕⠺ ⠎⠞⠁⠽
bring today how think laugh moon,⠃⠗⠊⠝⠛ ⠞⠕⠙⠁⠽ ⠓⠕⠺ ⠞⠓⠊⠝⠅ ⠇⠁⠥⠛⠓ ⠍⠕⠕⠝
you think good how write,⠽⠕⠥ ⠞⠓⠊⠝⠅ ⠛⠕⠕⠙ ⠓⠕⠺ ⠺⠗⠊⠞⠑
send laugh wish go,⠎⠑⠝⠙ ⠇⠁⠥⠛⠓ ⠺⠊⠎⠓ ⠛⠕
yellow go think sad world black send,⠽⠑⠇⠇⠕⠺ ⠛⠕ ⠞⠓⠊⠝⠅ ⠎⠁⠙ ⠺⠕⠗⠇⠙ ⠃⠇⠁⠉⠅ ⠎⠑⠝⠙
green laugh wish wish are,⠛⠗⠑⠑⠝ ⠇⠁⠥⠛⠓ ⠺⠊⠎⠓ ⠺⠊⠎⠓ ⠁⠗⠑
happy stay bright moon hate feel hate,⠓⠁⠏⠏⠽ ⠎⠞⠁⠽ ⠃⠗⠊⠛⠓⠞ ⠍⠕⠕⠝ ⠓⠁⠞⠑ ⠋⠑⠑⠇ ⠓⠁⠞⠑
close hello go write come,⠉⠇⠕⠎⠑ ⠓⠑⠇⠇⠕ ⠛⠕ ⠺⠗⠊⠞⠑ ⠉⠕⠍⠑
feel hello stay hello close hate,⠋⠑⠑⠇ ⠓⠑⠇⠇⠕ ⠎⠞⠁⠽ ⠓⠑⠇⠇⠕ ⠉⠇⠕⠎⠑ ⠓⠁⠞⠑
open smile stand bring touch happy take,⠕⠏⠑⠝ ⠎⠍⠊⠇⠑ ⠎⠞⠁⠝⠙ ⠃⠗⠊⠝⠛ ⠞⠕⠥⠉⠓ ⠓⠁⠏⠏⠽ ⠞⠁⠅⠑
open you fast feel you wish,⠕⠏⠑⠝ ⠽⠕⠥ ⠋⠁⠎⠞ ⠋⠑⠑⠇ ⠽⠕⠥ ⠺⠊⠎⠓
run touch happy stand hate think red,⠗⠥⠝ ⠞⠕⠥⠉⠓ ⠓⠁⠏⠏⠽ ⠎⠞⠁⠝⠙ ⠓⠁⠞⠑ ⠞⠓⠊⠝⠅ ⠗⠑⠙
how red wish give world green,⠓⠕⠺ ⠗⠑⠙ ⠺⠊⠎⠓ ⠛⠊⠧⠑ ⠺⠕⠗⠇⠙ ⠛⠗⠑⠑⠝
hold blue today bright come,⠓⠕⠇⠙ ⠃⠇⠥⠑ ⠞⠕⠙⠁⠽ ⠃⠗⠊⠛⠓⠞ ⠉⠕⠍⠑
today think green sun,⠞⠕⠙⠁⠽ ⠞⠓⠊⠝⠅ ⠛⠗⠑⠑⠝ ⠎⠥⠝
take send night hello,⠞⠁⠅⠑ ⠎⠑⠝⠙ ⠝⠊⠛⠓⠞ ⠓⠑⠇⠇⠕
run read touch hello think come love send,⠗⠥⠝ ⠗⠑⠁⠙ ⠞⠕⠥⠉⠓ ⠓⠑⠇⠇⠕ ⠞⠓⠊⠝⠅ ⠉⠕⠍⠑ ⠇⠕⠧⠑ ⠎⠑⠝⠙
world see see take green hello stand,⠺⠕⠗⠇⠙ ⠎⠑⠑ ⠎⠑⠑ ⠞⠁⠅⠑ ⠛⠗⠑⠑⠝ ⠓⠑⠇⠇⠕ ⠎⠞⠁⠝⠙
